Date,Number of New Positive Cases in Last 24 Hrs,Total Number of Positive Cases to Date,Number of New Tests in Last 24 Hrs,Total Number of Tests to Date,Total Number of Active Cases Undergoing Treatment to Date,Number of New Recovered Cases in Last 24 Hrs,Total Number of Recovered Cases to Date,Number of New Deaths in Last 24 Hrs,Total Number of Deaths to Date
2020-03-03,1,8,0,0,8,0,0,0,0
2020-03-04,0,8,0,0,8,0,0,0,0
2020-03-05,0,8,0,0,8,0,0,0,0
2020-03-06,3,11,0,0,11,0,0,0,0
2020-03-07,1,12,0,0,12,0,0,0,0
2020-03-08,3,15,0,0,15,0,0,0,0
2020-03-09,3,18,0,0,18,0,0,0,0
2020-03-10,6,24,0,0,24,0,0,0,0
2020-03-11,238,262,0,0,262,0,0,0,0
2020-03-12,58,320,0,5309,320,0,0,0,0
2020-03-13,0,320,0,5309,320,0,0,0,0
2020-03-14,17,337,1479,6788,337,0,0,0,0
2020-03-15,64,401,1162,7950,397,4,4,0,0
2020-03-16,38,439,425,8375,435,0,4,0,0
2020-03-17,3,442,172,8547,438,0,4,0,0
2020-03-18,10,452,326,8873,448,0,4,0,0
2020-03-19,8,460,587,9460,450,6,10,0,0
2020-03-20,10,470,456,9916,460,0,10,0,0
2020-03-21,11,481,442,10358,454,17,27,0,0
2020-03-22,13,494,499,10857,461,6,33,0,0
2020-03-23,7,501,497,11354,464,4,37,0,0
2020-03-24,25,526,177,11531,485,4,41,0,0
2020-03-25,11,537,727,12258,496,0,41,0,0
2020-03-26,12,549,1423,13681,506,2,43,0,0
2020-03-27,13,562,1164,14845,519,0,43,0,0
2020-03-28,28,590,1737,16582,544,2,45,1,1
2020-03-29,44,634,2295,18877,585,3,48,0,1
2020-03-30,59,693,1181,20058,641,3,51,0,1
2020-03-31,88,781,2291,22349,717,11,62,1,2
2020-04-01,54,835,2476,24825,762,9,71,0,2
2020-04-02,114,949,1435,26260,874,1,72,1,3
2020-04-03,126,1075,2153,28413,979,21,93,0,3
2020-04-04,250,1325,3538,31951,1213,16,109,0,3
2020-04-05,279,1604,3806,35757,1477,14,123,1,4
2020-04-06,228,1832,2351,38108,1697,8,131,0,4
