date,new_cases
2020-02-29,1
2020-03-01,2
2020-03-02,4
2020-03-03,1
2020-03-04,0
2020-03-05,0
2020-03-06,3
2020-03-07,1
2020-03-08,3
2020-03-09,3
2020-03-10,6
2020-03-11,238
2020-03-12,58
2020-03-13,0
2020-03-14,17
2020-03-15,64
2020-03-16,38
2020-03-17,3
2020-03-18,10
2020-03-19,8
2020-03-20,10
2020-03-21,11
2020-03-22,13
2020-03-23,7
2020-03-24,25
2020-03-25,11
2020-03-26,12
2020-03-27,13
2020-03-28,28
2020-03-29,44
2020-03-30,59
2020-03-31,88
2020-04-01,54
2020-04-02,114
2020-04-03,126
2020-04-04,250
2020-04-05,279
2020-04-06,228
2020-04-07,225
2020-04-08,153
2020-04-09,166
2020-04-10,136
2020-04-11,216
2020-04-12,251
2020-04-13,252
2020-04-14,197
2020-04-15,283
2020-04-16,392
2020-04-17,560
2020-04-18,345
2020-04-19,440
2020-04-20,567
2020-04-21,518
2020-04-22,608
2020-04-23,623
2020-04-24,761
2020-04-25,833
2020-04-26,929
2020-04-27,957
2020-04-28,677
2020-04-29,643
2020-04-30,845
2020-05-01,687
2020-05-02,776
2020-05-03,679
2020-05-04,640
2020-05-05,951
2020-05-06,830
2020-05-07,918
2020-05-08,1311
2020-05-09,1130
2020-05-10,1189
2020-05-11,1103
2020-05-12,1526
2020-05-13,1390
2020-05-14,1733
