DT,TOT,TOT_model
2020-03-03,1,0
2020-03-04,0,0
2020-03-05,0,1
2020-03-06,3,2
2020-03-07,1,3
2020-03-08,3,5
2020-03-09,3,6
2020-03-10,6,9
2020-03-11,238,13
2020-03-12,58,17
2020-03-13,0,19
2020-03-14,17,21
2020-03-15,64,22
2020-03-16,38,21
2020-03-17,3,23
2020-03-18,10,24
2020-03-19,8,26
2020-03-20,10,27
2020-03-21,11,28
2020-03-22,13,29
2020-03-23,7,29
2020-03-24,25,32
2020-03-25,11,37
2020-03-26,12,42
2020-03-27,13,47
2020-03-28,28,51
2020-03-29,44,54
2020-03-30,59,58
2020-03-31,88,65
2020-04-01,54,76
2020-04-02,114,88
2020-04-03,126,98
2020-04-04,250,108
2020-04-05,279,115
2020-04-06,228,121
2020-04-07,225,136
2020-04-08,153,158
2020-04-09,166,182
2020-04-10,136,204
2020-04-11,216,223
2020-04-12,251,237
2020-04-13,252,250
2020-04-14,197,281
2020-04-15,283,325
2020-04-16,392,373
2020-04-17,560,417
2020-04-18,345,452
2020-04-19,440,477
2020-04-20,567,497
2020-04-21,518,546
2020-04-22,608,618
2020-04-23,623,688
2020-04-24,761,738
2020-04-25,833,758
2020-04-26,929,748
2020-04-27,957,723
2020-04-28,677,736
2020-04-29,643,775
2020-04-30,845,807
2020-05-01,687,820
2020-05-02,776,819
2020-05-03,679,804
2020-05-04,640,794
2020-05-05,951,842
2020-05-06,830,932
2020-05-07,918,1028
2020-05-08,1311,1106
2020-05-09,1130,1150
2020-05-10,1189,1162
2020-05-11,1103,1163
2020-05-12,1526,1231
2020-05-13,1390,1344
2020-05-14,1733,1446
2020-05-15,1153,1505
2020-05-16,1547,1523
2020-05-17,1632,1494
2020-05-18,1365,1452
2020-05-19,1637,1499
2020-05-20,1492,1607
2020-05-21,1554,1696
2020-05-22,1830,1745
2020-05-23,1732,1749
2020-05-24,1501,1704
2020-05-25,1751,1641
2020-05-26,1742,1684
2020-05-27,1740,1792
2020-05-28,1967,1881
2020-05-29,1993,1927
2020-05-30,2355,1915
2020-05-31,1648,1847
2020-06-01,1523,1759
2020-06-02,1826,1790
2020-06-03,1901,1881
2020-06-04,0,1959
2020-06-05,0,1992
2020-06-06,0,1969
2020-06-07,0,1891
2020-06-08,0,1797
2020-06-09,0,1846
2020-06-10,0,1940
2020-06-11,0,2027
2020-06-12,0,2055
2020-06-13,0,2027
