date,ML,Low_90,High_90
2020-03-03,0.0,0.0,10.81
2020-03-04,0.4,0.0,8.73
2020-03-05,0.46,0.0,7.1000000000000005
2020-03-06,3.0100000000000002,0.0,7.11
2020-03-07,2.27,0.0,5.76
2020-03-08,10.02,7.87,11.9
2020-03-09,7.19,5.61,8.540000000000001
2020-03-10,5.22,4.0600000000000005,6.22
2020-03-11,3.87,2.95,4.72
2020-03-12,2.88,2.05,3.63
2020-03-13,2.0300000000000002,1.23,2.74
2020-03-14,1.42,0.61,2.12
2020-03-15,0.8300000000000001,0.05,1.47
2020-03-16,0.68,0.0,1.36
2020-03-17,0.5,0.0,1.28
2020-03-18,0.36,0.0,1.18
2020-03-19,0.28,0.0,1.09
2020-03-20,0.32,0.0,1.1300000000000001
2020-03-21,0.39,0.0,1.25
2020-03-22,0.45,0.0,1.36
2020-03-23,0.52,0.0,1.46
2020-03-24,0.59,0.0,1.55
2020-03-25,0.68,0.0,1.6300000000000001
2020-03-26,0.91,0.03,1.83
2020-03-27,1.3,0.23,2.24
2020-03-28,1.73,0.65,2.68
2020-03-29,2.08,1.08,2.96
2020-03-30,2.33,1.44,3.15
2020-03-31,2.39,1.57,3.13
2020-04-01,2.58,1.86,3.2800000000000002
2020-04-02,2.75,2.07,3.36
2020-04-03,2.73,2.11,3.2800000000000002
2020-04-04,2.56,1.98,3.06
2020-04-05,2.17,1.62,2.64
2020-04-06,1.72,1.19,2.18
2020-04-07,1.27,0.74,1.73
2020-04-08,0.93,0.39,1.4000000000000001
2020-04-09,0.84,0.3,1.33
2020-04-10,1.0,0.45,1.5
2020-04-11,1.16,0.62,1.6600000000000001
2020-04-12,1.35,0.81,1.83
2020-04-13,1.5,0.97,1.96
2020-04-14,1.78,1.26,2.21
2020-04-15,1.84,1.37,2.27
2020-04-16,1.86,1.4000000000000001,2.2600000000000002
2020-04-17,1.83,1.3800000000000001,2.21
2020-04-18,1.71,1.27,2.07
2020-04-19,1.59,1.17,1.95
2020-04-20,1.52,1.11,1.87
2020-04-21,1.52,1.1300000000000001,1.87
2020-04-22,1.6300000000000001,1.24,1.96
2020-04-23,1.68,1.32,2.0100000000000002
2020-04-24,1.68,1.31,1.98
2020-04-25,1.55,1.2,1.85
2020-04-26,1.31,0.96,1.6
2020-04-27,1.11,0.76,1.4000000000000001
2020-04-28,0.89,0.56,1.2
2020-04-29,0.81,0.48,1.1300000000000001
2020-04-30,0.79,0.45,1.11
2020-05-01,0.81,0.45,1.12
2020-05-02,1.0,0.64,1.31
2020-05-03,1.08,0.71,1.3800000000000001
2020-05-04,1.16,0.8,1.46
2020-05-05,1.44,1.1,1.74
2020-05-06,1.55,1.22,1.84
2020-05-07,1.62,1.29,1.8900000000000001
2020-05-08,1.54,1.22,1.8
2020-05-09,1.46,1.1400000000000001,1.71
2020-05-10,1.41,1.1300000000000001,1.68
2020-05-11,1.45,1.16,1.7
2020-05-12,1.31,1.03,1.56
2020-05-13,1.31,1.04,1.56
2020-05-14,1.24,0.9500000000000001,1.47
2020-05-15,1.1400000000000001,0.87,1.3800000000000001
2020-05-16,1.07,0.8,1.31
2020-05-17,1.07,0.8,1.31
2020-05-18,1.04,0.77,1.28
2020-05-19,1.17,0.88,1.3900000000000001
2020-05-20,1.1500000000000001,0.88,1.3800000000000001
2020-05-21,1.12,0.85,1.35
2020-05-22,1.16,0.9,1.3900000000000001
2020-05-23,1.1,0.8300000000000001,1.32
2020-05-24,1.08,0.81,1.3
2020-05-25,1.11,0.84,1.33
2020-05-26,1.1500000000000001,0.89,1.37
2020-05-27,1.29,1.04,1.51
2020-05-28,1.26,1.02,1.48
2020-05-29,1.11,0.86,1.32
2020-05-30,0.98,0.74,1.2
2020-05-31,0.87,0.61,1.08
2020-06-01,0.77,0.53,1.0
2020-06-02,0.8200000000000001,0.56,1.04
2020-06-03,0.85,0.6,1.08
2020-06-04,0.9500000000000001,0.67,1.16
2020-06-05,0.89,0.61,1.1
2020-06-06,0.85,0.58,1.07
2020-06-07,0.86,0.59,1.09
2020-06-08,0.92,0.64,1.1400000000000001
2020-06-09,0.93,0.66,1.16
2020-06-10,1.02,0.74,1.24
2020-06-11,0.9400000000000001,0.67,1.17
2020-06-12,0.88,0.62,1.12
2020-06-13,0.73,0.45,0.96
2020-06-14,0.6,0.31,0.84
2020-06-15,0.6,0.31,0.85
2020-06-16,0.59,0.29,0.84
2020-06-17,0.63,0.33,0.89
2020-06-18,0.81,0.5,1.07
2020-06-19,0.85,0.54,1.11
